"識別ID","回答日時","セグメント","タグ","オフィスで勤務していたときの標準的な生産性を「5」とすると、テレワーク時の生産性は何点ですか？ 0点～10点でお答えください。","NPS要因 - wifiなど業務遂行に十分な通信環境がある","NPS要因 - 机、椅子など、仕事がしやすい環境が自宅にある","NPS要因 - パソコン、プリンターなど業務に必要な機器が揃っている","NPS要因 - ウェブ会議やチャットツールなど業務に必要なツール・ソフトが揃っている","NPS要因 - 上司とのコミュニケーションは円滑に実施できている","NPS要因 - 同僚とのコミュニケーションは円滑に実施できている","NPS要因 - 顧客や社外関係者とのコミュニケーションは円滑に実施できている","NPS要因 - 業務量は適切である","NPS要因 - 適切な業務指示を受けている","NPS要因 - 自分の業務に対するフィードバック・評価をしっかり得られている","NPS要因 - 自身の業務はテレワークに対応しており、在宅でも遂行できている","NPS要因 - 会社は、自分の健康や安全に十分配慮している","NPS要因 - 会社は、自分の家族環境にも十分配慮している","NPS要因 - 情報セキュリティ対策を十分に行っている","NPS要因 - テレワークの環境整備など、施策実行が迅速だった","NPS要因 - 会社の業績は安定している","NPS要因 - 給与が安定して支払われている","NPS要因 -  プライベートと業務の切り替え、メリハリが上手く実施できている","平均すると、1週間で何日程度テレワークを実施していますか？","テレワークはどの程度前から実施していますか？最も近いものを選択してください。","あなたの性別を選択してください。","あなたの年代を選択してください。","あなたの勤続年数を選択してください。","あなたの役職を選択してください。","あなたの雇用形態を選択してください。","あなたの入社形態を選択してください。","あなたの所属部門に最も近いものを選択してください。","あなたは、現在の職場で働くことをを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください。","IPアドレス","UserAgent"
"","2020/06/23 10:10:46","セグメントなし","","7;新横浜では周りが気になってしまうことが多く感じていたが、自分以外誰もいない環境の方が集中できました。","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまる","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまる","週4日程度","2ヶ月程度前","男性","30～39歳","半年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3;ある程度のパソコンスキルや専門的な知識が必要で、得手不得手がある為、すべての人におすすめすることは難しいと考えます。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/23 09:51:33","セグメントなし","","5;集中して仕事をできるメリットと人に会えない不便さのデメリット（テレワークというかコロナの影響ですが）があるため","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまらない","やや当てはまる","やや当てはまる","週2日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3;働きやすい環境はあるが、コロナの影響で業績が落ちているため","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/23 09:25:10","セグメントなし","","4;通信環境の不安定さで重いファイルを開くときの待ち時間が増えた
コミュニケーション不足が発生している場合も多少あり","当てはまらない","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまる","あまり当てはまらない","週5日以上","3ヶ月程度前","女性","40～49歳","10年以上～20年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","その他部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/23 09:21:14","セグメントなし","","5;所属部門転換に伴い業務内容も変わったので比較しにくいのですが、自宅でのほうが眠くならなかったり、周辺の声が気にならなかったりするので、オフィス勤務時よりも業務に取り組む環境が快適です","当てはまる","どちらでもない","当てはまらない","当てはまる","どちらでもない","やや当てはまる","どちらでもない","当てはまる","当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","どちらでもない","当てはまる","あまり当てはまらない","週5日以上","3ヶ月程度前","女性","30～39歳","半年以上～1年未満","プレイヤー（内勤系職種）","正社員","中途","その他部門","5;業界自体が加速的に縮小傾向である点が最大のネック。。。会社としては挑戦・変化が当たり前という文化は素晴らしく、従業員を守るという姿勢に本当に感謝しています。生き残りをかけたこれから変化もとても楽しみです。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/23 08:58:54","セグメントなし","","6;業務以外の雑談をすることがなくなったので業務に集中しやすくなった。(集中したい業務中に話しかけられる方が生産性が低くなる)","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","週2日程度","3ヶ月程度前","女性","30～39歳","半年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7;過度な業務を与えず、オンオフはしっかりしている。社員はパート・アルバイトのことをしっかり見てくれていると思う。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/23 00:00:42","セグメントなし","","3;・上司への確認へのタイムラグが発生しやすい
・ネット環境が安定しないため、データの取り込みに時間が掛かる
","あまり当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","当てはまらない","当てはまらない","どちらでもない","あまり当てはまらない","当てはまらない","当てはまらない","どちらでもない","当てはまらない","あまり当てはまらない","あまり当てはまらない","当てはまらない","週2日程度","2ヶ月程度前","女性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 22:50:41","セグメントなし","","4;上長のフィードバックに時間がかかるため。
業務における作業自体には不都合はありません。","あまり当てはまらない","当てはまる","当てはまる","当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまらない","当てはまる","当てはまらない","週3日程度","2ヶ月程度前","男性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","その他部門","0;・一般社会に通用するスキルを身につけられるのは限られた部署のみのため。
・現在の会社状況がいつまで続くか不明のため
","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 18:42:07","セグメントなし","","4;書斎の様な物が自宅になく、机や椅子などが仕事に適した環境ではない。
今後もテレワークがある程度継続するのであれば、それらを揃えようと考えています","当てはまる","あまり当てはまらない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","週3日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","中途","企画部門","5;会社から社員への待遇は悪くないと思うが、写真業界そのものの将来性を考えるとお勧めはしかねる","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 18:19:29","セグメントなし","","3","やや当てはまる","当てはまらない","当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","当てはまらない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまらない","あまり当てはまらない","あまり当てはまらない","週3日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","中途","企画部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 18:05:49","セグメントなし","","2;上司に必ず確認しなければならない業務が多々ありますが、すぐに確認できない。
また電話もつながりにくいため、生産性は落ちたと思います。","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","あまり当てはまらない","週4日程度","3ヶ月程度前","女性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","4;福利厚生はしっかりしていると思うので。
お給料の点で、あまり進める気持ちのはならないです。
丁度転職をする友人が居り、最低の年収等、条件を聞かせてくれましたが、
友人の思う普通とは離れているようでした。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0"
"","2020/06/22 17:47:19","セグメントなし","","4","当てはまる","あまり当てはまらない","当てはまらない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","週1日に満たない","3ヶ月程度前","男性","50～59歳","20年以上～","課長（複数のチームのマネジメント）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/22 17:36:56","セグメントなし","","5","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","週4日程度","2ヶ月程度前","男性","40～49歳","1年以上～3年未満","課長（複数のチームのマネジメント）","正社員","中途","システム部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 17:25:43","セグメントなし","","5;メール確認や資料作りの時間はさほど変わりません。","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","週1日に満たない","2ヶ月程度前","男性","40～49歳","20年以上～","本部長／事業部長","その他","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7;写真に関わる様々な仕事があるから","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 17:21:17","セグメントなし","","3;押印、原本印刷、スキャン、現物受取の出社等、在宅でははかどらない業務が多々ある。","あまり当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","あまり当てはまらない","当てはまらない","当てはまらない","当てはまらない","どちらでもない","当てはまらない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","週2日程度","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5;在宅勤務が現在はあくまでコロナ対策の暫定措置との位置づけのようなので、長期的の継続なのかが分からず、良い悪いの判断には至らないと思います。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 17:13:50","セグメントなし","","4;慣れの問題もあるかと思いますが、コミュニケーションのスピードがどうしても落ちてしまう部分は感じる。","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまらない","あまり当てはまらない","あまり当てはまらない","当てはまらない","当てはまる","当てはまらない","週1日に満たない","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","課長（複数のチームのマネジメント）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 17:07:44","セグメントなし","","5;決まった仕事をこなしていく分には、テレワークのほうが生産性が高いですが、議論して決めるような業務であれば、オフィス勤務のほうが、生産性が良いと思います。","やや当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまる","当てはまる","やや当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまらない","当てはまる","当てはまる","週1日程度","3ヶ月程度前","男性","40～49歳","10年以上～20年未満","その他","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","10;職場の環境が常によいため。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 16:59:43","セグメントなし","","8;週１日のＭＴＧは必要、それ以外は、ＰＣがあればできることは多い","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","週4日程度","3ヶ月程度前","男性","40～49歳","10年以上～20年未満","その他","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","8;通勤時間の有効活用","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/22 16:17:30","セグメントなし","","5","あまり当てはまらない","当てはまらない","当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","あまり当てはまらない","当てはまらない","あまり当てはまらない","どちらでもない","週4日程度","2ヶ月程度前","女性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","新卒","システム部門","1","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 15:51:51","セグメントなし","","6;とくに、会議が手短になったことで打ち合わせが減り作業できる時間が増えた。
しかし、小さな質問や少人数の意見交換がしづらくなりレスポンスが遅くなった。","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","当てはまらない","やや当てはまる","あまり当てはまらない","週4日程度","3ヶ月程度前","女性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7;休業補償がパートでも出るのは素晴らしいと思います","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko"
"","2020/06/22 15:46:29","セグメントなし","","5","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","当てはまらない","当てはまる","どちらでもない","週4日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（外勤系職種）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/22 15:34:11","セグメントなし","","5;メリットとデメリットで相殺。メリット＝通勤時間が減った。デメリット＝急な打ち合わせがしにくい。","当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","週1日程度","2ヶ月程度前","男性","40～49歳","20年以上～","本部長／事業部長","その他","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","6;根本的には、人に優しい企業だと思うから","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 15:23:22","セグメントなし","","8","やや当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","当てはまらない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","当てはまる","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまる","週2日程度","2ヶ月程度前","女性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","企画部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 15:14:52","セグメントなし","","3;・週後半につれて集中力が落ちてきます
・昼食を昼休みに自分で作るので、あまり休めている感じがしません（朝までにお弁当を作れば良いのですが…）","当てはまる","やや当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","どちらでもない","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","どちらでもない","どちらでもない","当てはまる","あまり当てはまらない","週4日程度","2～3週間程度前","女性","20～29歳","半年未満","プレイヤー（内勤系職種）","正社員","新卒","リサーチ部門","5;適正に合わせて業務を振っていただける職場だと思っています。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 15:08:09","セグメントなし","","3","やや当てはまる","当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまらない","当てはまらない","当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","週1日程度","2ヶ月程度前","男性","50～59歳","20年以上～","部長（複数の課のマネジメント）","正社員","中途","その他部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/22 14:33:04","セグメントなし","","2;業務内容的に、店舗と同じネット環境、機器を操作できる必要があり、リモート操作では限界がった。
作業的な仕事は捗るが、コミュニケーションが必要な業務は、Zoom、メール、チャットなどで対応する必要があり、ツールを使うのに時間がかかっていた。
自宅のインターネットの通信速度が遅く、切断されることが度々起きた。
","あまり当てはまらない","あまり当てはまらない","当てはまらない","当てはまる","あまり当てはまらない","当てはまらない","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","当てはまらない","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","あまり当てはまらない","週1日程度","2ヶ月程度前","男性","50～59歳","20年以上～","主任／リーダー（内勤系職種）","正社員","中途","システム部門","4;縮小している業種なので若い人には進められない。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
"","2020/06/22 14:30:57","セグメントなし","","7;・個人で行う業務の効率は上がった。
・しかし、他部署の情報が入りにくいため、知っておくべく情報が得られないことがあった。
メーリングリストを変更し、現在は改善されている。
","やや当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまる","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","あまり当てはまらない","当てはまる","あまり当てはまらない","週5日以上","2ヶ月程度前","女性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","2;勧めない理由
・これから成長する業界に思えないため
・並みの社員だとボーナスが少ないため
・正社員でいる限りは全国転勤で、結婚・子育てしにくい環境のため
・店舗勤務だと基本土日出社で、子育てしにくい環境のため
・災害時、業績が不安定になるため

勧める理由
・人柄がよい社員が多い
・様々なことに挑戦できる
・お客様の幸せのため働いていることがダイレクトに感じられる
・接客が好きならぴったり","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
"","2020/06/22 14:27:34","セグメントなし","","4","当てはまる","当てはまる","どちらでもない","どちらでもない","当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","週3日程度","2ヶ月程度前","女性","40～49歳","半年以上～1年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","その他部門","8","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 14:19:15","セグメントなし","","5;バイヤー、同部署内のコミュニケーションが取りにくくなった半面、飛び込み仕事が減ったため、生産性的には変わらずといった印象です","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","週4日程度","3ヶ月程度前","男性","40～49歳","20年以上～","プレイヤー（内勤系職種）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0"
"","2020/06/22 14:18:25","セグメントなし","","3;公休・休業でも常にPCが手元にある状態のため、問い合わせや業務依頼などが常時発生することで
オンオフの切り替えがなくなり、集中力の低下や疲労感がオフィス勤務よりも強く感じます。","やや当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","当てはまらない","週4日程度","2ヶ月程度前","女性","30～39歳","1年以上～3年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5;弊社の取り扱う商材は生活に必要とされるより、生活に付加価値を与えるものがメインと考えます。
現状では消費者の購入が積極的ではないことが市況として窺い知れる機会がある以上、不用意に勧めたいとは考えません。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/22 13:19:41","セグメントなし","","5;通勤時間が無くなるのはプラス。必要に応じて直接・その場で会話できる便利さがなくなるマイナスでイーブン。","当てはまる","当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","週2日程度","2ヶ月程度前","男性","60歳以上","20年以上～","取締役／役員","その他","中途","その他部門","5;その人物と会社の相性次第。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 13:09:36","セグメントなし","","7;↑移動時間減
↑急遽の声掛けがなくなり集中
↑無駄な会議が減る
↓コミュニケーションロスによる生産性ダウン","どちらでもない","あまり当てはまらない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","週1日程度","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","課長（複数のチームのマネジメント）","正社員","中途","マーケティング部門（広報も含む）","8;内勤は一早く在宅を導入したため","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 13:08:44","セグメントなし","","6;在宅でもオフィス同様、集中して業務にあたれました。","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","週2日程度","1ヶ月程度前","女性","40～49歳","半年以上～1年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 13:03:58","セグメントなし","","4;WIFI環境が家にないとデータの抽出に無駄に時間がかかる。新部署で０の状態だと逆に生産性が下がる気がしました。","当てはまらない","どちらでもない","当てはまらない","当てはまる","当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","どちらでもない","当てはまらない","どちらでもない","やや当てはまる","当てはまらない","どちらでもない","どちらでもない","週1日程度","2ヶ月程度前","男性","40～49歳","10年以上～20年未満","課長（複数のチームのマネジメント）","正社員","新卒","企画部門","3;新人事制度で不明朗と感じる。今はしっかりと未来が見えるように尽力したい。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 12:58:04","セグメントなし","","4","やや当てはまる","当てはまる","当てはまらない","やや当てはまる","あまり当てはまらない","当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","どちらでもない","当てはまらない","あまり当てはまらない","やや当てはまる","どちらでもない","当てはまる","やや当てはまる","週1日程度","3ヶ月程度前","男性","40～49歳","20年以上～","主任／リーダー（内勤系職種）","正社員","新卒","人事部門","2","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
